text,sentiment
id respond go,neutral
sooo sad miss san diego,negative
bos bully,negative
interview leave alone,negative
son couldnt put release already buy,negative
shameless plug best ranger forum earth,neutral
feeding baby fun smile coo,positive
soooo high,neutral
,neutral
journey wow u become cooler hehe possible,positive
much love hopeful reckon chance minimal p im never not_gon na get cake stuff,neutral
really really like song love story taylor swift,positive
sharpie run dangerously low ink,negative
want go music tonight lose voice,negative
test test lg,neutral
uh oh sunburn,negative
sok try plot alternative speak sigh,negative
ive sick past day thus hair look wierd didnt hat would look,negative
back home gon na miss every one,negative
not_that,neutral
oh marly im sorry hope find soon,neutral
play ghost online really interest new update kirin pet metamorph third job ca n't wait dragon pet,positive
clean house family comming later today,neutral
get ta restart computer think suppose put end constant rebootiness,neutral
see wat mean bout friidays call lose friday smh,neutral
free fillin app ipod fun im addict,positive
im sorry,negative
way malaysiano internet access twit,negative
juss come backk berkeleyy omg madd fun havent minute whassqoodd,positive
go sleep power cut noida power back not_work,negative
im go home see new twitter design quiteheavenly,positive
hope unni make audition fight dahye unni,positive
consolation get bmi test hahaha say obesed well much unhappy minute,negative
thats funny cute kid,positive
ahhh sleep game im gon na try best watch tomorrow though hope play army,neutral
thats end tear fear v eric prydz dj hero,neutral
bear raise nyc living texas past year still miss ny,negative
case wonder really busy today come add ton new blog update stay tune,neutral
im soooooo sleeeeepy last day school todaysniffle,negative
little happy wine jeje ok itsm free time care jaja love day,positive
car not_happy big big dent boot hop theyre not_go write cross finger wait,neutral
im avid fan magazine love magazine,positive
mayday,neutral
ratt rock nashville toniteone thing suck not_encore like still fun show pearcy hott bad boy look,neutral
love im available dear would love help convert vidsï¿½,positive
girl hair salon ask shall trim eyebrow old feel,neutral
egh blah boooooooooooo dunno wan na go work hangover suckkkkkk im drunk mess,negative
visit friendster facebook,neutral
donbt like peel prawn also n't like go shop run money crawl round car look,negative
case get new one last week im not_thrill mine,negative
check connect tweeple hate twitter,neutral
also bore school third freelesson freistunde,neutral
hm u guess,neutral
u dissappointed past day,negative
romance zero funny,positive
id rather early runbut morning runner,neutral
bah coworker run work late bag smack knee really hurt,negative
back later,neutral
aw torn ace heart hunchback,negative
fun speaking,neutral
lose friend im alone sleepyi wan na go home,negative
haha yes,neutral
give easily,negative
better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
mannnn get iphone im jealous,negative
photoshoot,neutral
awesome work good friend,positive
yay play show tonight boo gon na soggy im work right play,neutral
chilliin,positive
know agent let know,neutral
still smell smoke kitchenfire,neutral
celticslakers rematch sound better n't think laugh loud,positive
anyone extra keane ticket promise buy drink take rad pic fb blog flickr etc,neutral
ride one catch one not_summer til pop open one,neutral
good gorjuz yea kno ask yesterday tha hospital talk u say,neutral
ok im pop say hi check thing ill probably head guttah later tonight,neutral
wow really missin family today baddd,negative
source say,neutral
sooo tired,negative
hey change twitter account didnt even tell,neutral
thank yyyyyyyyyoooooooooouuuuu,positive
lucky kidi wan na see loserville pity im oz,positive
fell asleep wait ride,neutral
sick flu like thing,negative
still not_reply simfinger problem not_irape parody video get response sorry guy,negative
happy star war day everyone enjoy holiday uk,positive
mile im essex give plenty warn arrive time get least one free beer,neutral
snoring annoying n keep sleep like right laugh loud honestly wud miss eva leave love,neutral
miss bby wish go tomorrow make good,negative
well im work isnt quite ready post publicly still beta test cool new script cod,positive
sweeeeet san fran awesome love,positive
mounce yes last way past bedtime,neutral
hi join twitter,neutral
wait sleep pill kick gon na tired work tomorrow,negative
eat ice cream get ready graduation,neutral
happy mother day mums,positive
caseys go piddle little carpet shes prolly freak cause new get back,negative
hemp cloth marvelous unfortunately,negative
gon na read story bout adam lambert online bed nighty night,neutral
saw none baddie best,positive
im beach pretty,positive
certainly not_cheer huh,neutral
week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces start emerge hand ouch,negative
realy want go cause nice everybodys busy,negative
awesome im ocean beach know way yourbiggestfan im real big fan,positive
least get watch time let go pen,neutral
cool wear black time go,neutral
haha not_know work blip apart obvious thanks reblipping song nice day,positive
safe trip joshy pooyoull knock dead speech,positive
woof wish allow go,positive
u friendster add email adress add add leave comment,neutral
ticket,neutral
thank afrin nasal spray also get giant teacup tonight,positive
acsm unfathomable think one one keep comfort bedroom yes,neutral
aww love daddy work day week almost day still try go sf u,positive
many test todayyy n't feel confident anyy,negative
graduation im little sad anyone want hang,negative
hahaa awesomee,positive
holy smoke star trek freak awesomeeeee,positive
hate fallout keep make jump im also low health money ammo food n't worry ill get,neutral
itunes lose song,neutral
whats gloomy weather sun must tire come play head victoria garden impulse buy haha,neutral
not_look forward next week math geography english french exam total hour,negative
poor get outside sleep garden sun good n't forget suncream,negative
not_well,negative
not_a prob hun,positive
dad watch mtv go minutee,neutral
absolutely,neutral
whats matter chickadee,neutral
hey mia totally adore music cd,positive
shop clean bmfing webcam chat nephew nothing spesh good bank holiday monday nonetheless,positive
need ask something lmao love,positive
splinter look painfulbut heroic save mr pickle,negative
sad,negative
nice see tweet sunday may celebrate mother day today nice yer mom,positive
decide trans frm relaxed natural hair wish whole head look like root age instant gratification,positive
namaskar namaste r marathi people say namaskar marathi word naaaah,neutral
congrats cuss like matter minute didnt know reward,neutral
humous doritos oh yes,neutral
miss awesome weather movie,negative
today go normal day hope group pilot large airline come last night much drink,neutral
kid terrible good evans id call childline,negative
unfortunatley aerlingus not_longer fly copenhagen fly ryanair billund drive copenhagen one day,negative
whats sad actually google term suck tho,negative
hate fighting,negative
watch didnt want win put good fightlaugh loud,neutral
carwarmed sprite taste like sore throat,negative
come cross country beat dumbo,neutral
candle wax enjoyable,positive
shes unassuming unpretentious shes suppose thats shes endearingbecause relate,positive
tomorrow valerias lunch go get hair im arraving late get cousin babtizm whatever spell,neutral
goooooddd morning tweet week three workout mention get new glass yesterday,positive
hate computer much,negative
fine go big walk today mile,positive
want red cruiser n't like one lmfao,negative
mmmmmmmm morning,neutral
neither,neutral
hour work sunday boo find time two hour lunchbreak though yeah,neutral
bugger forget still wash machine,negative
laurie send love blessing heal thought family peace,positive
back hurtsreally bad,negative
ah yes know feel,neutral
night cooker dad,neutral
modem offline week god bless network tim leave may schedule brutal,negative
nope coquitlam,neutral
parent teacher thing yesterday bore go skl saturday laugh loud,negative
lichfield tweetup sound like fun hope see everyone else,positive
big booming thunder storm almost maybe go home early ah probably,neutral
bevvies twngreat day,positive
